City,State,DAT_Market
BIRMINGHAM,AL,AL_BIR
DECATUR,AL,AL_DEC
MOBILE,AL,AL_MOB
MONTGOMERY,AL,AL_MON
FAYETTEVILLE,AR,AR_FAY
LITTLE ROCK,AR,AR_LIT
FLAGSTAFF,AZ,AZ_FLA
PHOENIX,AZ,AZ_PHO
TUCSON,AZ,AZ_TUC
FRESNO,CA,CA_FRS
LOS ANGELES,CA,CA_LAX
ONTARIO,CA,CA_ONT
SAN DIEGO,CA,CA_SDI
SAN FRANCISCO,CA,CA_SFR
STOCKTON,CA,CA_STK
DENVER,CO,CO_DEN
GRAND JCT,CO,CO_GRA
HARTFORD,CT,CT_HAR
ALEXANDRIA,VA,VA_ALE
GREENSBORO,NC,NC_GRE
JACKSONVILLE,FL,FL_JAX
LAKELAND,FL,FL_LAK
MIAMI,FL,FL_MIA
TALLAHASSEE,FL,FL_TAL
ATLANTA,GA,GA_ATL
MACON,GA,GA_MAC
SAVANNAH,GA,GA_SAV
TIFTON,GA,GA_TIF
CEDAR RAPIDS,IA,IA_CED
DES MOINES,IA,IA_DES
DUBUQUE,IA,IA_DUB
TWIN FALLS,ID,ID_TWI
BLOOMINGTON,IL,IL_BLO
CHICAGO,IL,IL_CHI
JOLIET,IL,IL_JOL
QUINCY,IL,IL_QUI
ROCKFORD,IL,IL_RFD
ROCK ISLAND,IL,IL_ROC
TAYLORVILLE,IL,IL_TAY
EVANSVILLE,IN,IN_EVA
FT WAYNE,IN,IN_FTW
GARY,IN,IN_GRY
INDIANAPOLIS,IN,IN_IND
SOUTH BEND,IN,IN_SBD
TERRE HAUTE,IN,IN_TER
HUTCHINSON,KS,KS_HUT
BOWLING GREEN,KY,KY_BOW
LEXINGTON,KY,KY_LEX
LOUISVILLE,KY,KY_LOU
NEW ORLEANS,LA,LA_NEW
SHREVEPORT,LA,LA_SHR
BOSTON,MA,MA_BOS
SPRINGFIELD,MA,MA_SPR
BALTIMORE,MD,MD_BAL
AUGUSTA,ME,ME_AUG
DETROIT,MI,MI_DET
GRAND RAPIDS,MI,MI_RAP
SAGINAW,MI,MI_SAG
DULUTH,MN,MN_DUL
MINNEAPOLIS,MN,MN_MIN
ST CLOUD,MN,MN_STC
CAPE GIRARDEAU,MO,MO_GIR
JEFFERSON CITY,MO,MO_JEF
JOPLIN,MO,MO_JOP
KANSAS CITY,MO,MO_KAN
ST LOUIS,MO,MO_STL
JACKSON,MS,MS_JAC
BILLINGS,MT,MT_BIL
MISSOULA,MT,MT_MIS
CHARLOTTE,NC,NC_CHA
RALEIGH,NC,NC_RAL
WILMINGTON,NC,NC_WIL
FARGO,ND,ND_FAR
BISMARCK,ND,ND_BIS
NORTH PLATTE,NE,NE_NPL
OMAHA,NE,NE_OMA
BRISTOL,NH,NH_BRI
ELIZABETH,NJ,NJ_ELI
ALBUQUERQUE,NM,NM_ALB
LAS VEGAS,NV,NV_VEG
RENO,NV,NV_REN
ALBANY,NY,NY_ALB
BROOKLYN,NY,NY_BRN
BUFFALO,NY,NY_BUF
ELMIRA,NY,NY_ELM
ROCHESTER,NY,NY_ROC
SYRACUSE,NY,NY_SYR
CINCINNATI,OH,OH_CIN
CLEVELAND,OH,OH_CLE
COLUMBUS,OH,OH_COL
TOLEDO,OH,OH_TOL
OKLAHOMA CITY,OK,OK_OKC
TULSA,OK,OK_TUL
MEDFORD,OR,OR_MED
PENDLETON,OR,OR_PEN
PORTLAND,OR,OR_POR
ALLENTOWN,PA,PA_ALL
ERIE,PA,PA_ERI
HARRISBURG,PA,PA_HAR
PHILADELPHIA,PA,PA_PHI
PITTSBURGH,PA,PA_PIT
N CHARLESTON,SC,SC_CHA
COLUMBIA,SC,SC_COL
GREENVILLE,SC,SC_GRE
RAPID CITY,SD,SD_RAP
SIOUX FALLS,SD,SD_SXF
CHATTANOOGA,TN,TN_CHA
KNOXVILLE,TN,TN_KNO
MEMPHIS,TN,TN_MEM
NASHVILLE,TN,TN_NAS
AMARILLO,TX,TX_AMA
AUSTIN,TX,TX_AUS
DALLAS,TX,TX_DAL
EL PASO,TX,TX_ELP
FT WORTH,TX,TX_FTW
HOUSTON,TX,TX_HOU
LAREDO,TX,TX_LAR
LUBBOCK,TX,TX_LUB
MCALLEN,TX,TX_MCA
SAN ANTONIO,TX,TX_ANT
TEXARKANA,TX,TX_TEX
SALT LAKE CITY,UT,UT_SLC
NORFOLK,VA,VA_NOR
RICHMOND,VA,VA_RCH
ROANOKE,VA,VA_ROA
WINCHESTER,VA,VA_WIN
SEATTLE,WA,WA_SEA
SPOKANE,WA,WA_SPO
EAU CLAIRE,WI,WI_EAU
GREEN BAY,WI,WI_GRE
MADISON,WI,WI_MAD
MILWAUKEE,WI,WI_MIL
CHARLESTON,WV,WV_CHA
HUNTINGTON,WV,WV_HUN
GREEN RIVER,WY,WY_GRE
TORONTO,ON,ON_TOR
MONTREAL,QC,QC_MON
