City,State,Zip3
AARONSBURG,PA,168
ABBEVILLE,AL,363
ABBEVILLE,GA,310
ABBEVILLE,LA,705
ABBEVILLE,MS,386
ABBEVILLE,SC,296
ABBOT,ME,044
ABBOTSFORD,WI,544
ABBOTT,TX,766
ABBOTTSTOWN,PA,173
ABBYVILLE,KS,675
ABELL,MD,206
ABERCROMBIE,ND,580
ABERDEEN,ID,832
ABERDEEN,KY,422
ABERDEEN,MD,210
ABERDEEN,MS,397
ABERDEEN,NC,283
ABERDEEN,OH,451
ABERDEEN,SD,574
ABERDEEN,WA,985
ABERDEEN PROVING GROUND,MD,210
ABERNANT,AL,354
ABERNATHY,TX,793
ABILENE,KS,674
ABILENE,TX,796
ABINGDON,IL,614
ABINGDON,MD,210
ABINGDON,VA,242
ABINGTON,MA,023
ABINGTON,PA,190
ABIQUIU,NM,875
ABITA SPRINGS,LA,704
ABRAMS,WI,541
ABSAROKEE,MT,590
ABSECON,NJ,082
ACAMPO,CA,952
ACCIDENT,MD,215
ACCOKEEK,MD,206
ACCOMAC,VA,233
ACCORD,NY,124
ACCOVILLE,WV,256
ACE,TX,773
ACHILLE,OK,747
ACHILLES,VA,230
ACKERLY,TX,797
ACKERMAN,MS,397
ACKLEY,IA,506
ACME,MI,496
ACME,PA,156
ACME,WA,982
ACOSTA,PA,155
ACRA,NY,124
ACTON,CA,935
ACTON,MA,017
ACTON,ME,040
ACUSHNET,MA,027
ACWORTH,GA,301
ACWORTH,NH,036
ADA,MI,493
ADA,MN,565
ADA,OH,458
ADA,OK,748
ADAIR,IA,500
ADAIR,IL,614
ADAIR,OK,743
ADAIRSVILLE,GA,301
ADAIRVILLE,KY,422
ADAK,AK,995
ADAMANT,VT,056
ADAMS,MA,012
ADAMS,MN,559
ADAMS,ND,582
ADAMS,NE,683
ADAMS,NY,136
ADAMS,OK,739
ADAMS,OR,978
ADAMS,TN,370
ADAMS,WI,539
ADAMS BASIN,NY,144
ADAMS CENTER,NY,136
ADAMS RUN,SC,294
ADAMSBURG,PA,156
ADAMSTOWN,MD,217
ADAMSTOWN,PA,195
ADAMSVILLE,AL,350
ADAMSVILLE,OH,438
ADAMSVILLE,PA,161
