Orig \ Dest,AL_BIR,AL_DEC,AL_MOB,AL_MON,AR_FAY,AR_LIT,AZ_FLA,AZ_PHO,AZ_TUC,CA_FRS,CA_LAX,CA_ONT,CA_SDI,CA_SFR,CA_STK,CO_DEN,CO_GRA,CT_HAR,FL_JAX,FL_LAK,FL_MIA,FL_TAL,GA_ATL,GA_MAC,GA_SAV,GA_TIF,IA_CED,IA_DES,IA_DUB,ID_TWI,IL_BLO,IL_CHI,IL_JOL,IL_QUI,IL_RFD,IL_ROC,IL_TAY,IN_EVA,IN_FTW,IN_GRY,IN_IND,IN_SBD,IN_TER,KS_HUT,KY_BOW,KY_LEX,KY_LOU,LA_NEW,LA_SHR,MA_BOS,MA_SPR,MD_BAL,ME_AUG,MI_DET,MI_RAP,MI_SAG,MN_DUL,MN_MIN,MN_STC,MO_GIR,MO_JEF,MO_JOP,MO_KAN,MO_STL,MS_JAC,MT_BIL,MT_MIS,NC_CHA,NC_GRE,NC_RAL,NC_WIL,ND_BIS,ND_FAR,NE_NPL,NE_OMA,NH_BRI,NJ_ELI,NM_ALB,NV_REN,NV_VEG,NY_ALB,NY_BRN,NY_BUF,NY_ELM,NY_ROC,NY_SYR,OH_CIN,OH_CLE,OH_COL,OH_TOL,OK_OKC,OK_TUL,ON_TOR,OR_MED,OR_PEN,OR_POR,PA_ALL,PA_ERI,PA_HAR,PA_PHI,PA_PIT,QC_MON,SC_CHA,SC_COL,SC_GRE,SD_RAP,SD_SXF,TN_CHA,TN_KNO,TN_MEM,TN_NAS,TX_AMA,TX_ANT,TX_AUS,TX_DAL,TX_ELP,TX_FTW,TX_HOU,TX_LAR,TX_LUB,TX_MCA,TX_TEX,UT_SLC,VA_ALE,VA_NOR,VA_RCH,VA_ROA,VA_WIN,WA_SEA,WA_SPO,WI_EAU,WI_GRE,WI_MAD,WI_MIL,WV_CHA,WV_HUN,WY_GRE
AL_BIR,1.0,83.0,257.0,92.0,553.0,372.0,1562.0,1704.0,1590.0,2152.0,2027.0,1991.0,1998.0,2325.0,2276.0,1325.0,1570.0,1080.0,458.0,566.0,777.0,297.0,147.0,231.0,395.0,327.0,786.0,846.0,804.0,1995.0,613.0,662.0,673.0,638.0,747.0,734.0,525.0,343.0,604.0,633.0,479.0,623.0,451.0,861.0,256.0,404.0,366.0,343.0,453.0,1178.0,1103.0,779.0,1330.0,725.0,738.0,799.0,1133.0,1073.0,1140.0,408.0,630.0,637.0,745.0,498.0,238.0,1820.0,2163.0,393.0,480.0,555.0,562.0,1499.0,1308.0,1163.0,932.0,1263.0,954.0,1243.0,2332.0,1811.0,1084.0,975.0,907.0,954.0,974.0,1044.0,469.0,720.0,570.0,666.0,701.0,637.0,954.0,2627.0,2334.0,2541.0,874.0,816.0,796.0,877.0,752.0,1295.0,433.0,370.0,293.0,1452.0,1112.0,147.0,257.0,234.0,193.0,959.0,862.0,781.0,641.0,1275.0,675.0,667.0,1018.0,986.0,1013.0,512.0,1818.0,745.0,713.0,681.0,515.0,680.0,2616.0,2361.0,983.0,875.0,812.0,761.0,564.0,526.0,1651.0
AL_DEC,83.0,1.0,337.0,172.0,506.0,326.0,1516.0,1659.0,1600.0,2106.0,1981.0,1945.0,2007.0,2279.0,2229.0,1264.0,1509.0,1059.0,538.0,646.0,856.0,377.0,228.0,312.0,476.0,409.0,707.0,767.0,725.0,1916.0,534.0,583.0,594.0,559.0,668.0,655.0,446.0,264.0,525.0,554.0,400.0,544.0,372.0,815.0,177.0,325.0,288.0,421.0,531.0,1157.0,1083.0,759.0,1310.0,646.0,659.0,720.0,1054.0,994.0,1061.0,305.0,551.0,590.0,666.0,419.0,316.0,1741.0,2084.0,474.0,521.0,595.0,643.0,1420.0,1229.0,1084.0,853.0,1242.0,933.0,1197.0,2253.0,1765.0,1064.0,954.0,829.0,942.0,895.0,969.0,390.0,641.0,491.0,587.0,655.0,590.0,875.0,2581.0,2255.0,2462.0,853.0,737.0,775.0,856.0,673.0,1203.0,483.0,451.0,374.0,1373.0,1033.0,127.0,236.0,188.0,114.0,913.0,914.0,836.0,641.0,1285.0,673.0,746.0,1074.0,996.0,1091.0,466.0,1739.0,724.0,761.0,667.0,494.0,660.0,2537.0,2282.0,904.0,796.0,733.0,682.0,500.0,451.0,1573.0
AL_MOB,257.0,337.0,1.0,170.0,637.0,451.0,1559.0,1640.0,1526.0,2229.0,2012.0,1976.0,1933.0,2391.0,2348.0,1409.0,1654.0,1329.0,404.0,512.0,723.0,244.0,327.0,348.0,540.0,327.0,949.0,1010.0,1017.0,2112.0,868.0,917.0,927.0,802.0,1002.0,946.0,779.0,598.0,858.0,888.0,734.0,877.0,706.0,946.0,511.0,659.0,621.0,144.0,405.0,1427.0,1353.0,991.0,1580.0,980.0,993.0,1054.0,1388.0,1222.0,1287.0,568.0,794.0,721.0,909.0,679.0,190.0,1984.0,2327.0,575.0,663.0,737.0,726.0,1700.0,1455.0,1327.0,1096.0,1512.0,1203.0,1239.0,2254.0,1808.0,1334.0,1182.0,1162.0,1204.0,1228.0,1293.0,724.0,975.0,825.0,920.0,796.0,721.0,1209.0,2700.0,2451.0,2658.0,1123.0,1071.0,1045.0,1089.0,1000.0,1545.0,589.0,535.0,475.0,1616.0,1276.0,400.0,509.0,397.0,447.0,955.0,663.0,631.0,594.0,1211.0,628.0,468.0,819.0,939.0,813.0,474.0,1935.0,964.0,896.0,863.0,764.0,930.0,2734.0,2524.0,1238.0,1129.0,1067.0,1016.0,816.0,778.0,1769.0
AL_MON,92.0,172.0,170.0,1.0,642.0,461.0,1651.0,1715.0,1601.0,2241.0,2087.0,2051.0,2008.0,2414.0,2365.0,1414.0,1659.0,1162.0,366.0,474.0,685.0,205.0,161.0,181.0,347.0,197.0,875.0,936.0,893.0,2084.0,703.0,751.0,762.0,727.0,836.0,823.0,614.0,432.0,693.0,722.0,568.0,712.0,541.0,950.0,345.0,493.0,456.0,309.0,463.0,1260.0,1186.0,824.0,1413.0,814.0,827.0,888.0,1222.0,1162.0,1229.0,497.0,719.0,726.0,834.0,587.0,248.0,1909.0,2253.0,408.0,496.0,570.0,559.0,1588.0,1397.0,1252.0,1021.0,1345.0,1036.0,1332.0,2421.0,1900.0,1167.0,1015.0,997.0,1037.0,1063.0,1126.0,558.0,809.0,659.0,755.0,790.0,726.0,1043.0,2716.0,2423.0,2630.0,956.0,905.0,878.0,922.0,835.0,1378.0,444.0,368.0,309.0,1541.0,1201.0,234.0,343.0,323.0,282.0,1048.0,828.0,796.0,652.0,1286.0,685.0,633.0,984.0,997.0,978.0,532.0,1907.0,798.0,729.0,696.0,597.0,763.0,2705.0,2450.0,1073.0,964.0,901.0,850.0,651.0,613.0,1741.0
AR_FAY,553.0,506.0,637.0,642.0,1.0,189.0,1099.0,1241.0,1160.0,1689.0,1563.0,1527.0,1587.0,1861.0,1812.0,803.0,1048.0,1446.0,1008.0,1116.0,1327.0,847.0,698.0,783.0,947.0,879.0,556.0,427.0,626.0,1489.0,528.0,660.0,625.0,410.0,660.0,596.0,458.0,535.0,739.0,667.0,608.0,727.0,533.0,340.0,591.0,705.0,630.0,630.0,308.0,1546.0,1470.0,1190.0,1699.0,899.0,812.0,924.0,820.0,669.0,735.0,338.0,283.0,87.0,236.0,361.0,449.0,1314.0,1657.0,937.0,992.0,1066.0,1113.0,1030.0,843.0,657.0,426.0,1540.0,1316.0,779.0,1826.0,1348.0,1416.0,1337.0,1112.0,1226.0,1179.0,1253.0,717.0,925.0,784.0,836.0,237.0,115.0,1153.0,2163.0,1828.0,2035.0,1236.0,1021.0,1157.0,1259.0,975.0,1481.0,965.0,921.0,844.0,946.0,606.0,661.0,707.0,318.0,529.0,495.0,605.0,528.0,332.0,909.0,359.0,571.0,765.0,614.0,837.0,237.0,1312.0,1196.0,1232.0,1138.0,966.0,1131.0,2110.0,1855.0,754.0,851.0,724.0,738.0,914.0,864.0,1145.0
AR_LIT,372.0,326.0,451.0,461.0,189.0,1.0,1200.0,1343.0,1278.0,1790.0,1664.0,1629.0,1686.0,1963.0,1913.0,962.0,1207.0,1350.0,828.0,936.0,1147.0,667.0,518.0,603.0,767.0,699.0,617.0,614.0,685.0,1665.0,510.0,651.0,631.0,470.0,642.0,615.0,441.0,443.0,716.0,651.0,584.0,711.0,510.0,499.0,411.0,559.0,521.0,444.0,212.0,1448.0,1374.0,1050.0,1601.0,875.0,796.0,908.0,1007.0,856.0,922.0,292.0,346.0,274.0,422.0,347.0,263.0,1501.0,1844.0,757.0,812.0,886.0,933.0,1217.0,1030.0,844.0,613.0,1533.0,1225.0,880.0,1895.0,1449.0,1355.0,1245.0,1062.0,1175.0,1128.0,1203.0,624.0,874.0,725.0,820.0,338.0,274.0,1104.0,2264.0,2004.0,2211.0,1144.0,971.0,1066.0,1148.0,907.0,1433.0,802.0,741.0,664.0,1133.0,792.0,481.0,527.0,138.0,349.0,597.0,592.0,515.0,320.0,964.0,351.0,439.0,752.0,675.0,824.0,144.0,1489.0,1016.0,1052.0,958.0,786.0,951.0,2287.0,2041.0,879.0,857.0,707.0,743.0,734.0,684.0,1322.0
AZ_FLA,1562.0,1516.0,1559.0,1651.0,1099.0,1200.0,1.0,144.0,260.0,592.0,466.0,430.0,490.0,764.0,715.0,766.0,431.0,2446.0,1964.0,2072.0,2282.0,1803.0,1709.0,1793.0,1957.0,1889.0,1434.0,1304.0,1503.0,735.0,1529.0,1661.0,1626.0,1334.0,1660.0,1473.0,1459.0,1535.0,1740.0,1667.0,1608.0,1727.0,1534.0,889.0,1601.0,1706.0,1631.0,1470.0,1153.0,2546.0,2471.0,2191.0,2699.0,1900.0,1813.0,1924.0,1697.0,1547.0,1612.0,1413.0,1283.0,1080.0,1106.0,1362.0,1370.0,1068.0,1040.0,1947.0,2003.0,2077.0,2123.0,1469.0,1664.0,1028.0,1306.0,2540.0,2317.0,322.0,697.0,251.0,2417.0,2338.0,2113.0,2226.0,2179.0,2254.0,1718.0,1926.0,1785.0,1837.0,862.0,968.0,2153.0,1066.0,1074.0,1340.0,2237.0,2022.0,2158.0,2259.0,1975.0,2482.0,1986.0,1932.0,1855.0,1175.0,1426.0,1671.0,1717.0,1328.0,1540.0,608.0,1025.0,1026.0,968.0,474.0,944.0,1211.0,1180.0,641.0,1263.0,1124.0,518.0,2206.0,2242.0,2149.0,1976.0,2141.0,1357.0,1237.0,1631.0,1852.0,1596.0,1739.0,1924.0,1875.0,660.0
AZ_PHO,1704.0,1659.0,1640.0,1715.0,1241.0,1343.0,144.0,1.0,116.0,589.0,372.0,336.0,354.0,752.0,708.0,909.0,574.0,2589.0,2042.0,2149.0,2360.0,1881.0,1848.0,1932.0,2096.0,1906.0,1576.0,1447.0,1646.0,878.0,1671.0,1803.0,1769.0,1477.0,1803.0,1616.0,1601.0,1678.0,1883.0,1810.0,1751.0,1870.0,1677.0,1032.0,1744.0,1848.0,1774.0,1519.0,1251.0,2689.0,2613.0,2334.0,2842.0,2042.0,1955.0,2067.0,1840.0,1689.0,1755.0,1556.0,1426.0,1223.0,1248.0,1505.0,1469.0,1212.0,1183.0,2094.0,2145.0,2219.0,2262.0,1612.0,1806.0,1171.0,1448.0,2683.0,2460.0,464.0,772.0,292.0,2559.0,2481.0,2256.0,2369.0,2322.0,2396.0,1860.0,2068.0,1928.0,1979.0,1005.0,1110.0,2296.0,1060.0,1217.0,1334.0,2379.0,2164.0,2300.0,2402.0,2118.0,2624.0,2082.0,2071.0,1994.0,1318.0,1569.0,1814.0,1860.0,1471.0,1682.0,750.0,980.0,1008.0,1068.0,430.0,1034.0,1173.0,1135.0,744.0,1218.0,1252.0,661.0,2349.0,2385.0,2291.0,2118.0,2284.0,1505.0,1380.0,1774.0,1995.0,1739.0,1881.0,2066.0,2017.0,803.0
AZ_TUC,1590.0,1600.0,1526.0,1601.0,1160.0,1278.0,260.0,116.0,1.0,705.0,488.0,452.0,409.0,867.0,824.0,892.0,690.0,2508.0,1928.0,2035.0,2246.0,1767.0,1734.0,1818.0,1982.0,1791.0,1514.0,1385.0,1584.0,994.0,1590.0,1722.0,1687.0,1473.0,1722.0,1554.0,1520.0,1597.0,1802.0,1729.0,1670.0,1789.0,1595.0,970.0,1685.0,1833.0,1692.0,1405.0,1137.0,2608.0,2532.0,2324.0,2761.0,1961.0,1874.0,1986.0,1778.0,1627.0,1693.0,1566.0,1345.0,1141.0,1186.0,1431.0,1355.0,1444.0,1299.0,1980.0,2067.0,2142.0,2148.0,1595.0,1790.0,1154.0,1266.0,2602.0,2378.0,447.0,888.0,408.0,2478.0,2399.0,2175.0,2288.0,2241.0,2315.0,1779.0,1987.0,1846.0,1898.0,924.0,1029.0,2215.0,1176.0,1333.0,1450.0,2298.0,2083.0,2219.0,2321.0,2037.0,2543.0,1996.0,1957.0,1880.0,1301.0,1552.0,1736.0,1801.0,1412.0,1624.0,669.0,866.0,893.0,954.0,316.0,920.0,1059.0,1021.0,630.0,1104.0,1137.0,777.0,2290.0,2300.0,2233.0,2060.0,2225.0,1621.0,1496.0,1712.0,1913.0,1677.0,1800.0,2008.0,1959.0,919.0
CA_FRS,2152.0,2106.0,2229.0,2241.0,1689.0,1790.0,592.0,589.0,705.0,1.0,219.0,254.0,339.0,187.0,126.0,1142.0,901.0,3036.0,2630.0,2738.0,2949.0,2469.0,2298.0,2383.0,2547.0,2479.0,1938.0,1808.0,2007.0,752.0,2113.0,2150.0,2115.0,1964.0,2094.0,1977.0,2048.0,2125.0,2283.0,2156.0,2198.0,2217.0,2124.0,1479.0,2191.0,2295.0,2221.0,2107.0,1743.0,3136.0,3060.0,2781.0,3216.0,2405.0,2302.0,2414.0,2201.0,2051.0,2028.0,2003.0,1873.0,1670.0,1742.0,1937.0,1960.0,1250.0,1062.0,2537.0,2592.0,2666.0,2713.0,1664.0,1855.0,1400.0,1678.0,3099.0,2907.0,911.0,299.0,395.0,2950.0,2928.0,2667.0,2774.0,2738.0,2813.0,2307.0,2468.0,2375.0,2369.0,1452.0,1557.0,2642.0,477.0,848.0,751.0,2826.0,2569.0,2747.0,2849.0,2565.0,2971.0,2575.0,2521.0,2444.0,1473.0,1798.0,2261.0,2307.0,1918.0,2129.0,1197.0,1569.0,1596.0,1557.0,1019.0,1533.0,1762.0,1724.0,1231.0,1807.0,1713.0,816.0,2796.0,2832.0,2738.0,2565.0,2731.0,922.0,986.0,2135.0,2241.0,2100.0,2180.0,2513.0,2464.0,979.0
