date,time_central,analyst,origin,destination,miles,dat_best_fit,dat_range_low,dat_range_high,rate_strength,origin_signal,dest_signal,flow,dir_adj_pct,same_day,same_day_multiplier,carrier_target_low,carrier_target_high,floor_aggressive,floor_target,floor_defensive,ceiling_aggressive,ceiling_target,ceiling_defensive,breakeven,stddev,volatility_band,quoted_amount,ev_at_quote,p_profit_at_quote,outcome,actual_carrier_cost,actual_margin_dollars,actual_margin_pct,notes,strategy,p_profit_at_strategy
2026-03-24,07:41 PM,John Barksdale,"LONG BEACH, CA","KOKOMO, IN",2141,4518.0,3254.0,5789.0,55,Acute Imbalance,Soft,Acute Imbalance → Soft,10.8,No,,4518.0,5007.2994,4879.44,5060.16,5240.88,5407.88,5608.18,5808.47,5007.3,414.2839277558887,MODERATE VOLATILITY,5375.0,367.7,82%,,,,,,"Ceil Aggr ($5,408)",83%
2026-03-25,07:49 AM,John Barksdale,"MONROE, LA","ROSEMEAD, CA",1712,5787.0,5598.0,6249.0,69,Firming,Acute Imbalance,Firming → Acute Imbalance,-1.5,No,,5699.6163,5787.0,6155.59,6383.57,6611.55,6249.96,6481.44,6712.92,5787.0,225.4258958554257,LOW VOLATILITY,6712.0,925.0,100%,,,,,,"Ceil Def ($6,713)",100%
2026-03-25,07:52 AM,John Barksdale,"MONROE, LA","TEMPLE CITY, CA",1715,5797.0,5608.0,6260.0,69,Firming,Acute Imbalance,Firming → Acute Imbalance,-1.5,No,,5709.4653,5797.0,6166.22,6394.6,6622.98,6260.76,6492.64,6724.52,5797.01,225.79699740376373,LOW VOLATILITY,6725.0,928.0,100%,,,,,,"Ceil Def ($6,725)",100%
2026-03-25,08:36 AM,John Barksdale,"NEWARK, NJ","WICHITA, KS",1382,4353.0,3966.0,4948.0,79,Balanced,Loosening,Balanced → Loosening,3.1,No,,4353.0,4489.684200000001,4701.24,4875.36,5049.48,4848.86,5028.45,5208.03,4489.69,263.48898398789856,MODERATE VOLATILITY,5208.0,718.32,99%,,,,,,"Ceil Def ($5,208)",99%
2026-03-25,09:25 AM,John Barksdale,"BRENHAM, TX","WILKES BARRE, PA",1591,4662.0,3978.0,5266.0,79,Firming,Firming,Firming → Firming,2.1,No,,4662.0,4758.5034,5034.96,5221.44,5407.92,5139.18,5329.52,5519.86,4758.51,238.2333414644181,MODERATE VOLATILITY,5221.0,462.5,97%,,,,,,"Floor Tgt ($5,221)",97%
2026-03-25,09:29 AM,John Barksdale,"BRENHAM, TX","BROOKVILLE, PA",1468,3509.0,2995.0,3582.0,71,Firming,Balanced,Firming → Balanced,2.9,No,,3509.0,3610.761,3789.72,3930.08,4070.44,3899.62,4044.05,4188.48,3610.77,103.78524842204055,LOW VOLATILITY,3930.0,319.24,100%,,,,,,"Floor Tgt ($3,930)",100%
2026-03-25,09:33 AM,John Barksdale,"BRENHAM, TX","PITTSBURGH, PA",1398,3341.0,2852.0,3411.0,71,Firming,Balanced,Firming → Balanced,2.9,No,,3341.0,3437.889,3608.28,3741.92,3875.56,3712.92,3850.44,3987.95,3437.89,98.756172788914,LOW VOLATILITY,3741.0,303.11,100%,,,,,,"Floor Tgt ($3,742)",100%
2026-03-25,09:36 AM,John Barksdale,"BRENHAM, TX","BROOKLYN, NY",1722,5442.0,4873.0,5662.0,76,Firming,Firming,Firming → Firming,1.4,No,,5442.0,5519.8206,5877.36,6095.04,6312.72,5961.41,6182.2,6402.99,5519.83,163.32779841142502,LOW VOLATILITY,6095.0,575.2,100%,,,,,,"Floor Tgt ($6,095)",100%
2026-03-25,09:39 AM,John Barksdale,"BRENHAM, TX","ARGYLE, MN",1389,4848.0,4098.0,5875.0,68,Firming,Soft,Firming → Soft,6.2,No,,4848.0,5149.5456,5235.84,5429.76,5623.68,5561.51,5767.49,5973.47,5149.55,498.2115703080983,HIGH VOLATILITY,5767.0,617.45,89%,,,,,,"Ceil Tgt ($5,767)",89%
2026-03-25,09:43 AM,John Barksdale,"BRENHAM, TX","ROCHESTER, NY",1620,5638.0,5038.0,6334.0,83,Firming,Soft,Firming → Soft,6.4,No,,5638.0,5999.3958,6089.04,6314.56,6540.08,6479.35,6719.32,6959.3,5999.4,249.72362007569933,LOW VOLATILITY,6314.0,314.6,89%,,,,,,"Floor Tgt ($6,315)",89%
2026-03-25,09:44 AM,John Barksdale,"BRENHAM, TX","BUFFALO, NY",1555,5303.0,4712.0,6080.0,83,Firming,Loosening,Firming → Loosening,5.7,No,,5303.0,5603.6801,5727.24,5939.36,6151.48,6051.97,6276.12,6500.27,5603.69,254.4651157281319,LOW VOLATILITY,5939.0,335.32,90%,,,,,,"Floor Tgt ($5,939)",90%
2026-03-25,09:49 AM,John Barksdale,"BRENHAM, TX","MORRISTOWN, NJ",1678,4497.0,3591.0,5319.0,73,Firming,Balanced,Firming → Balanced,2.7,No,,4497.0,4616.620199999999,4856.76,5036.64,5216.52,4985.95,5170.61,5355.28,4616.63,275.46574298014286,MODERATE VOLATILITY,5036.0,419.38,93%,,,,,,"Floor Tgt ($5,037)",93%
2026-03-26,10:55 AM,John Barksdale,"TULSA, OK","WICHITA, KS",177,996.0,804.0,1159.0,76,Balanced,Loosening,Balanced → Loosening,2.1,No,,996.0,1016.8164,1075.68,1115.52,1155.36,1098.16,1138.83,1179.51,1016.82,68.95211443853393,MODERATE VOLATILITY,1116.0,99.18,92%,,,,,,"Floor Tgt ($1,116)",92%
2026-03-27,08:24 AM,Jeff Elliott,"BRISTOL, NH","CORYDON, IN",653,2005.0,1757.0,2207.0,76,Balanced,Loosening,Balanced → Loosening,2.1,Yes,1.341,2688.705,2744.3611935,2903.8,3011.35,3118.9,2963.91,3073.68,3183.46,2744.37,91.08277632729481,LOW VOLATILITY,3023.0,278.64,99%,,,,,,"Floor Tgt ($3,011)",98%
