Zip3,State,DAT_Market,Market_City,Distance
010,MA,MA_SPR,SPRINGFIELD,11
011,MA,MA_SPR,SPRINGFIELD,2
012,MA,NY_ALB,ALBANY,34
013,MA,MA_SPR,SPRINGFIELD,34
014,MA,MA_BOS,BOSTON,40
015,MA,MA_SPR,SPRINGFIELD,40
016,MA,MA_BOS,BOSTON,40
017,MA,MA_BOS,BOSTON,20
018,MA,MA_BOS,BOSTON,21
019,MA,MA_BOS,BOSTON,19
020,MA,MA_BOS,BOSTON,16
021,MA,MA_BOS,BOSTON,2
022,MA,MA_BOS,BOSTON,1
023,MA,MA_BOS,BOSTON,25
024,MA,MA_BOS,BOSTON,9
025,MA,MA_BOS,BOSTON,60
026,MA,MA_BOS,BOSTON,63
027,MA,MA_BOS,BOSTON,42
028,RI,MA_BOS,BOSTON,54
029,RI,MA_BOS,BOSTON,43
030,NH,MA_BOS,BOSTON,43
031,NH,NH_BRI,BRISTOL,48
032,NH,NH_BRI,BRISTOL,11
033,NH,NH_BRI,BRISTOL,29
034,NH,NH_BRI,BRISTOL,54
035,NH,NH_BRI,BRISTOL,61
036,NH,NH_BRI,BRISTOL,42
037,NH,NH_BRI,BRISTOL,17
038,NH,NH_BRI,BRISTOL,40
039,ME,MA_BOS,BOSTON,60
040,ME,ME_AUG,AUGUSTA,57
041,ME,ME_AUG,AUGUSTA,53
042,ME,ME_AUG,AUGUSTA,32
043,ME,ME_AUG,AUGUSTA,4
044,ME,ME_AUG,AUGUSTA,75
045,ME,ME_AUG,AUGUSTA,30
046,ME,ME_AUG,AUGUSTA,87
047,ME,ME_AUG,AUGUSTA,177
048,ME,ME_AUG,AUGUSTA,36
049,ME,ME_AUG,AUGUSTA,30
050,VT,NH_BRI,BRISTOL,33
051,VT,NH_BRI,BRISTOL,50
052,VT,NY_ALB,ALBANY,43
053,VT,NY_ALB,ALBANY,53
054,VT,NH_BRI,BRISTOL,91
056,VT,NH_BRI,BRISTOL,62
057,VT,NH_BRI,BRISTOL,63
058,VT,NH_BRI,BRISTOL,74
059,VT,NH_BRI,BRISTOL,78
060,CT,CT_HAR,HARTFORD,10
061,CT,CT_HAR,HARTFORD,0
062,CT,CT_HAR,HARTFORD,30
063,CT,CT_HAR,HARTFORD,38
064,CT,CT_HAR,HARTFORD,22
065,CT,CT_HAR,HARTFORD,31
066,CT,CT_HAR,HARTFORD,46
067,CT,CT_HAR,HARTFORD,27
068,CT,NY_BRN,BROOKLYN,46
069,CT,NY_BRN,BROOKLYN,37
070,NJ,NJ_ELI,ELIZABETH,6
071,NJ,NJ_ELI,ELIZABETH,4
072,NJ,NJ_ELI,ELIZABETH,3
073,NJ,NJ_ELI,ELIZABETH,6
074,NJ,NJ_ELI,ELIZABETH,26
075,NJ,NJ_ELI,ELIZABETH,16
076,NJ,NJ_ELI,ELIZABETH,18
077,NJ,NY_BRN,BROOKLYN,24
078,NJ,NJ_ELI,ELIZABETH,35
079,NJ,NJ_ELI,ELIZABETH,19
080,NJ,PA_PHI,PHILADELPHIA,14
081,NJ,PA_PHI,PHILADELPHIA,10
082,NJ,PA_PHI,PHILADELPHIA,51
083,NJ,PA_PHI,PHILADELPHIA,33
084,NJ,PA_PHI,PHILADELPHIA,54
085,NJ,NJ_ELI,ELIZABETH,39
086,NJ,PA_PHI,PHILADELPHIA,37
087,NJ,NY_BRN,BROOKLYN,47
088,NJ,NJ_ELI,ELIZABETH,26
089,NJ,NJ_ELI,ELIZABETH,21
100,NY,NY_BRN,BROOKLYN,8
101,NY,NY_BRN,BROOKLYN,7
102,NY,NY_BRN,BROOKLYN,5
103,NY,NJ_ELI,ELIZABETH,7
104,NY,NY_BRN,BROOKLYN,14
105,NY,NY_BRN,BROOKLYN,39
106,NY,NY_BRN,BROOKLYN,28
107,NY,NY_BRN,BROOKLYN,21
108,NY,NY_BRN,BROOKLYN,20
109,NY,NJ_ELI,ELIZABETH,40
110,NY,NY_BRN,BROOKLYN,15
111,NY,NY_BRN,BROOKLYN,7
112,NY,NY_BRN,BROOKLYN,0
113,NY,NY_BRN,BROOKLYN,10
114,NY,NY_BRN,BROOKLYN,9
115,NY,NY_BRN,BROOKLYN,17
116,NY,NY_BRN,BROOKLYN,8
117,NY,NY_BRN,BROOKLYN,39
118,NY,NY_BRN,BROOKLYN,26
119,NY,CT_HAR,HARTFORD,58
120,NY,NY_ALB,ALBANY,10
121,NY,NY_ALB,ALBANY,10
122,NY,NY_ALB,ALBANY,3
123,NY,NY_ALB,ALBANY,15
124,NY,NY_ALB,ALBANY,44
125,NY,NY_ALB,ALBANY,59
126,NY,CT_HAR,HARTFORD,62
127,NY,NJ_ELI,ELIZABETH,76
128,NY,NY_ALB,ALBANY,60
129,NY,NH_BRI,BRISTOL,123
130,NY,NY_SYR,SYRACUSE,5
131,NY,NY_SYR,SYRACUSE,5
132,NY,NY_SYR,SYRACUSE,1
133,NY,NY_SYR,SYRACUSE,48
134,NY,NY_SYR,SYRACUSE,46
135,NY,NY_SYR,SYRACUSE,49
136,NY,NY_SYR,SYRACUSE,92
137,NY,NY_SYR,SYRACUSE,65
138,NY,NY_SYR,SYRACUSE,57
139,NY,NY_ELM,ELMIRA,44
140,NY,NY_BUF,BUFFALO,14
141,NY,NY_BUF,BUFFALO,11
142,NY,NY_BUF,BUFFALO,3
143,NY,NY_BUF,BUFFALO,16
144,NY,NY_ROC,ROCHESTER,15
145,NY,NY_ROC,ROCHESTER,17
146,NY,NY_ROC,ROCHESTER,1
147,NY,NY_BUF,BUFFALO,48
148,NY,NY_ELM,ELMIRA,25
149,NY,NY_ELM,ELMIRA,4
150,PA,PA_PIT,PITTSBURGH,6
151,PA,PA_PIT,PITTSBURGH,4
152,PA,PA_PIT,PITTSBURGH,2
153,PA,PA_PIT,PITTSBURGH,33
154,PA,PA_PIT,PITTSBURGH,37
155,PA,VA_WIN,WINCHESTER,66
156,PA,PA_PIT,PITTSBURGH,24
157,PA,PA_PIT,PITTSBURGH,52
158,PA,PA_PIT,PITTSBURGH,84
159,PA,PA_PIT,PITTSBURGH,59
160,PA,PA_PIT,PITTSBURGH,31
161,PA,PA_PIT,PITTSBURGH,52
162,PA,PA_PIT,PITTSBURGH,46
163,PA,PA_ERI,ERIE,48
164,PA,PA_ERI,ERIE,16
165,PA,PA_ERI,ERIE,2
166,PA,PA_HAR,HARRISBURG,78
167,PA,NY_BUF,BUFFALO,78
168,PA,PA_HAR,HARRISBURG,75
169,PA,NY_ELM,ELMIRA,33
170,PA,PA_HAR,HARRISBURG,13
171,PA,PA_HAR,HARRISBURG,3
172,PA,PA_HAR,HARRISBURG,49
173,PA,PA_HAR,HARRISBURG,25
174,PA,PA_HAR,HARRISBURG,23
175,PA,PA_HAR,HARRISBURG,37
176,PA,PA_HAR,HARRISBURG,34
177,PA,NY_ELM,ELMIRA,58
178,PA,PA_HAR,HARRISBURG,44
179,PA,PA_ALL,ALLENTOWN,43
180,PA,PA_ALL,ALLENTOWN,2
181,PA,PA_ALL,ALLENTOWN,2
182,PA,PA_ALL,ALLENTOWN,33
183,PA,PA_ALL,ALLENTOWN,35
184,PA,PA_ALL,ALLENTOWN,67
185,PA,PA_ALL,ALLENTOWN,57
186,PA,PA_ALL,ALLENTOWN,58
187,PA,PA_ALL,ALLENTOWN,49
188,PA,NY_ELM,ELMIRA,37
189,PA,PA_ALL,ALLENTOWN,24
190,PA,PA_PHI,PHILADELPHIA,10
191,PA,PA_PHI,PHILADELPHIA,10
193,PA,PA_PHI,PHILADELPHIA,26
194,PA,PA_PHI,PHILADELPHIA,24
195,PA,PA_ALL,ALLENTOWN,26
196,PA,PA_ALL,ALLENTOWN,31
197,DE,PA_PHI,PHILADELPHIA,26
198,DE,PA_PHI,PHILADELPHIA,19
199,DE,MD_BAL,BALTIMORE,70
200,DC,VA_ALE,ALEXANDRIA,7
201,VA,VA_ALE,ALEXANDRIA,30
203,DC,VA_ALE,ALEXANDRIA,6
206,MD,VA_ALE,ALEXANDRIA,35
207,MD,VA_ALE,ALEXANDRIA,16
208,MD,VA_ALE,ALEXANDRIA,22
209,MD,VA_ALE,ALEXANDRIA,16
210,MD,MD_BAL,BALTIMORE,14
211,MD,MD_BAL,BALTIMORE,17
212,MD,MD_BAL,BALTIMORE,10
214,MD,MD_BAL,BALTIMORE,15
215,MD,VA_WIN,WINCHESTER,50
216,MD,MD_BAL,BALTIMORE,40
217,MD,MD_BAL,BALTIMORE,48
218,MD,MD_BAL,BALTIMORE,84
219,MD,PA_PHI,PHILADELPHIA,43
220,VA,VA_ALE,ALEXANDRIA,11
221,VA,VA_ALE,ALEXANDRIA,12
222,VA,VA_ALE,ALEXANDRIA,5
223,VA,VA_ALE,ALEXANDRIA,3
224,VA,VA_RCH,RICHMOND,51
225,VA,VA_RCH,RICHMOND,46
226,VA,VA_WIN,WINCHESTER,9
227,VA,VA_WIN,WINCHESTER,48
228,VA,VA_WIN,WINCHESTER,49
229,VA,VA_RCH,RICHMOND,73
230,VA,VA_RCH,RICHMOND,21
231,VA,VA_RCH,RICHMOND,23
232,VA,VA_RCH,RICHMOND,7
233,VA,VA_NOR,NORFOLK,40
234,VA,VA_NOR,NORFOLK,32
235,VA,VA_NOR,NORFOLK,4
236,VA,VA_NOR,NORFOLK,21
237,VA,VA_NOR,NORFOLK,7
238,VA,VA_RCH,RICHMOND,34
239,VA,VA_RCH,RICHMOND,60
240,VA,VA_ROA,ROANOKE,6
241,VA,VA_ROA,ROANOKE,9
242,VA,TN_KNO,KNOXVILLE,101
243,VA,VA_ROA,ROANOKE,65
244,VA,VA_ROA,ROANOKE,70
245,VA,VA_ROA,ROANOKE,50
246,VA,WV_CHA,CHARLESTON,80
247,WV,VA_ROA,ROANOKE,67
248,WV,WV_CHA,CHARLESTON,61
249,WV,VA_ROA,ROANOKE,50
250,WV,WV_CHA,CHARLESTON,14
251,WV,WV_CHA,CHARLESTON,10
